,hiddenNeurons,denseSize,predictionDays,epochNo,batchSize,RMSE,R^2,LSTM
45,20,50,65,50,32,5.774354230023837,0.8819375341104971,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  118.722244
2021-03-15  123.989998  118.965836
2021-03-16  125.570000  119.717186
2021-03-17  124.760002  120.858345
2021-03-18  120.529999  121.912323
...                ...         ...
2022-03-04  163.169998  157.104767
2022-03-07  159.300003  157.266541
2022-03-08  157.440002  156.562851
2022-03-09  162.949997  155.301712
2022-03-10  158.520004  154.941193

[252 rows x 2 columns]"
46,20,50,65,50,64,5.514803284839264,0.8923125591271693,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.235069
2021-03-15  123.989998  120.378983
2021-03-16  125.570000  120.926849
2021-03-17  124.760002  121.843048
2021-03-18  120.529999  122.786705
...                ...         ...
2022-03-04  163.169998  157.146957
2022-03-07  159.300003  157.366211
2022-03-08  157.440002  157.016937
2022-03-09  162.949997  156.188034
2022-03-10  158.520004  155.827881

[252 rows x 2 columns]"
47,20,50,65,50,128,7.676926547060441,0.7913205056487735,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.343735
2021-03-15  123.989998  120.069710
2021-03-16  125.570000  120.060631
2021-03-17  124.760002  120.301506
2021-03-18  120.529999  120.640923
...                ...         ...
2022-03-04  163.169998  156.188766
2022-03-07  159.300003  155.907211
2022-03-08  157.440002  155.409836
2022-03-09  162.949997  154.735703
2022-03-10  158.520004  154.322906

[252 rows x 2 columns]"
48,20,50,65,100,32,6.274914893299565,0.8605814104400765,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.661774
2021-03-15  123.989998  120.151352
2021-03-16  125.570000  121.525238
2021-03-17  124.760002  123.185181
2021-03-18  120.529999  123.955734
...                ...         ...
2022-03-04  163.169998  158.530533
2022-03-07  159.300003  157.594406
2022-03-08  157.440002  155.063217
2022-03-09  162.949997  152.504211
2022-03-10  158.520004  153.370850

[252 rows x 2 columns]"
49,20,50,65,100,64,5.585605556451441,0.8895297003244376,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.279869
2021-03-15  123.989998  119.594849
2021-03-16  125.570000  120.500343
2021-03-17  124.760002  121.793282
2021-03-18  120.529999  122.887680
...                ...         ...
2022-03-04  163.169998  157.518127
2022-03-07  159.300003  157.643356
2022-03-08  157.440002  156.730377
2022-03-09  162.949997  155.269257
2022-03-10  158.520004  155.077408

[252 rows x 2 columns]"
50,20,50,65,100,128,6.567382110672275,0.8472822290991873,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  117.729103
2021-03-15  123.989998  117.702583
2021-03-16  125.570000  118.043030
2021-03-17  124.760002  118.724739
2021-03-18  120.529999  119.483772
...                ...         ...
2022-03-04  163.169998  157.183899
2022-03-07  159.300003  157.014481
2022-03-08  157.440002  156.481796
2022-03-09  162.949997  155.632996
2022-03-10  158.520004  155.135818

[252 rows x 2 columns]"
51,20,50,65,150,32,3.6826250015368447,0.9519802383910954,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.779907
2021-03-15  123.989998  121.182663
2021-03-16  125.570000  123.354462
2021-03-17  124.760002  125.219170
2021-03-18  120.529999  124.657639
...                ...         ...
2022-03-04  163.169998  162.120239
2022-03-07  159.300003  159.044037
2022-03-08  157.440002  155.363419
2022-03-09  162.949997  153.942383
2022-03-10  158.520004  159.359268

[252 rows x 2 columns]"
52,20,50,65,150,64,5.282401458366644,0.9011975273491828,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.577805
2021-03-15  123.989998  121.059181
2021-03-16  125.570000  122.419273
2021-03-17  124.760002  124.069618
2021-03-18  120.529999  124.872322
...                ...         ...
2022-03-04  163.169998  159.696899
2022-03-07  159.300003  158.738251
2022-03-08  157.440002  156.231628
2022-03-09  162.949997  153.718933
2022-03-10  158.520004  154.595032

[252 rows x 2 columns]"
53,20,50,65,150,128,3.8012250347749097,0.9488374517946867,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  122.747772
2021-03-15  123.989998  123.198906
2021-03-16  125.570000  124.380531
2021-03-17  124.760002  125.926964
2021-03-18  120.529999  126.907036
...                ...         ...
2022-03-04  163.169998  161.979599
2022-03-07  159.300003  161.508102
2022-03-08  157.440002  159.602615
2022-03-09  162.949997  157.421021
2022-03-10  158.520004  157.804688

[252 rows x 2 columns]"
54,40,25,55,50,32,4.574224695332293,0.9259133438569515,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.769218
2021-03-15  123.989998  120.206215
2021-03-16  125.570000  121.298546
2021-03-17  124.760002  122.778206
2021-03-18  120.529999  123.835068
...                ...         ...
2022-03-04  163.169998  161.428833
2022-03-07  159.300003  161.180740
2022-03-08  157.440002  159.365738
2022-03-09  162.949997  156.944427
2022-03-10  158.520004  156.630066

[252 rows x 2 columns]"
